,Time,IP,URL,Staus,AdjustedInMinutes,AdjustedInHour,AdjustedInDay,Method,HTTP
104,2017-11-29 15:04:35,10.130.2.1,/countdown.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
105,2017-11-29 15:04:41,10.130.2.1,/home.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
106,2017-11-29 15:05:11,10.130.2.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
107,2017-11-29 15:05:19,10.130.2.1,/contestproblem.php,302,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
108,2017-11-29 15:05:20,10.131.2.1,/countdown.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
109,2017-11-29 15:05:24,10.131.2.1,/home.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
110,2017-11-29 15:05:30,10.131.2.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
111,2017-11-29 15:05:35,10.131.2.1,/home.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
112,2017-11-29 15:07:26,10.128.2.1,/home.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
113,2017-11-29 15:07:44,10.131.2.1,/,302,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
114,2017-11-29 15:07:44,10.128.2.1,/login.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
115,2017-11-29 15:07:45,10.128.2.1,/css/bootstrap.min.css,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
116,2017-11-29 15:07:45,10.128.2.1,/css/font-awesome.min.css,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
117,2017-11-29 15:07:45,10.131.2.1,/css/main.css,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
118,2017-11-29 15:07:45,10.130.2.1,/css/normalize.css,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
119,2017-11-29 15:07:45,10.131.0.1,/css/style.css,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
120,2017-11-29 15:07:45,10.128.2.1,/js/vendor/modernizr-2.8.3.min.js,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
121,2017-11-29 15:07:46,10.130.2.1,/js/vendor/jquery-1.12.0.min.js,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
122,2017-11-29 15:07:46,10.131.2.1,/bootstrap-3.3.7/js/bootstrap.min.js,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
123,2017-11-29 15:07:49,10.128.2.1,/fonts/fontawesome-webfont.woff2,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
124,2017-11-29 15:07:57,10.128.2.1,/process.php,302,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,POST,HTTP/1.1
125,2017-11-29 15:07:57,10.128.2.1,/home.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
126,2017-11-29 15:07:58,10.128.2.1,/bootstrap-3.3.7/js/bootstrap.js,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
127,2017-11-29 15:07:58,10.130.2.1,/js/vendor/moment.min.js,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
128,2017-11-29 15:08:04,10.128.2.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
129,2017-11-29 15:08:07,10.128.2.1,/contestproblem.php,302,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
130,2017-11-29 15:08:07,10.130.2.1,/countdown.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
131,2017-11-29 15:08:10,10.130.2.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
132,2017-11-29 15:08:27,10.130.2.1,/contestproblem.php,302,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
133,2017-11-29 15:08:28,10.131.2.1,/countdown.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
134,2017-11-29 15:08:46,10.131.2.1,/contest.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
135,2017-11-29 15:08:48,10.131.2.1,/contestproblem.php,302,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
136,2017-11-29 15:08:49,10.129.2.1,/countdown.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
137,2017-11-29 15:08:52,10.129.2.1,/home.php,200,2017-11-29 15:00:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
138,2017-11-29 15:11:18,10.128.2.1,/home.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
139,2017-11-29 15:11:21,10.128.2.1,/contestproblem.php,302,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
140,2017-11-29 15:11:21,10.128.2.1,/countdown.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
141,2017-11-29 15:11:24,10.128.2.1,/home.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
142,2017-11-29 15:11:32,10.128.2.1,/home.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
143,2017-11-29 15:11:36,10.128.2.1,/contestproblem.php,302,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
144,2017-11-29 15:11:36,10.128.2.1,/countdown.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
145,2017-11-29 15:11:41,10.128.2.1,/home.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
146,2017-11-29 15:12:40,10.129.2.1,/contestproblem.php,302,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
147,2017-11-29 15:12:40,10.129.2.1,/countdown.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
148,2017-11-29 15:12:44,10.129.2.1,/home.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
149,2017-11-29 15:12:48,10.129.2.1,/compiler.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
150,2017-11-29 15:12:58,10.129.2.1,/contestproblem.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
151,2017-11-29 15:13:01,10.129.2.1,/home.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
152,2017-11-29 15:13:12,10.129.2.1,/contestproblem.php,302,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
153,2017-11-29 15:13:12,10.130.2.1,/countdown.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
154,2017-11-29 15:13:16,10.130.2.1,/home.php,200,2017-11-29 15:10:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
155,2017-11-29 15:40:24,10.131.2.1,/home.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
156,2017-11-29 15:40:29,10.131.2.1,/archive.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
157,2017-11-29 15:40:31,10.131.2.1,/allsubmission.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
158,2017-11-29 15:40:33,10.131.2.1,/showcode.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
